XH2O_fl,H2O_liq,CO2_liq
0.4,0.0,0.0038255723588293943
0.4,0.12915532469900443,-0.00026827177158311385
0.4,0.25831064939800885,-0.003748535086567012
0.4,0.3874659740970133,-0.006615217586122301
0.4,0.5166212987960177,-0.008868319270248982
0.4,0.6457766234950222,-0.010507840138947053
0.4,0.7749319481940266,-0.011533780192216516
0.4,0.9040872728930309,-0.011946139430057368
0.4,1.0332425975920354,-0.01174491785246961
0.4,1.1623979222910399,-0.010930115459453243
0.4,1.2915532469900444,-0.009501732251008267
0.4,1.4207085716890486,-0.007459768227134685
0.4,1.549863896388053,-0.00480422338783249
0.4,1.6790192210870576,-0.0015350977331016844
0.4,1.8081745457860618,0.0023476087370577236
0.4,1.9373298704850663,0.00684389602264574
0.4,2.066485195184071,0.01195376412366238
0.4,2.1956405198830753,0.017677213040107616
0.4,2.3247958445820798,0.024014242771981477
0.4,2.4539511692810843,0.030964853319283926
0.4,2.5831064939800887,0.03852904468201501
0.4,2.7122618186790928,0.04670681686017466
0.4,2.8414171433780973,0.055498169853762956
0.4,2.9705724680771017,0.06490310366277983
0.4,3.099727792776106,0.07492161828722536
0.4,3.2288831174751107,0.08555371372709947
0.4,3.358038442174115,0.09679938998240221
0.4,3.4871937668731197,0.10865864705313354
0.4,3.6163490915721237,0.12113148493929346
0.4,3.745504416271128,0.13421790364088199
0.4,3.8746597409701327,0.14791790315789913
0.4,4.003815065669137,0.16223148349034494
0.4,4.132970390368142,0.17715864463821931
0.4,4.262125715067146,0.1926993866015223
0.4,4.391281039766151,0.20885370938025388
0.4,4.520436364465155,0.22562161297441416
0.4,4.6495916891641595,0.24300309738400297
0.4,4.778747013863164,0.2609981626090204
0.4,4.9079023385621685,0.2796068086494664
0.4,5.037057663261173,0.2988290355053411
0.4,5.1662129879601775,0.3186648431766444
0.4,5.295368312659181,0.33911423166337606
0.4,5.4245236373581855,0.3601772009655365
0.4,5.55367896205719,0.3818537510831256
0.4,5.6828342867561945,0.40414388201614343
0.4,5.811989611455199,0.42704759376458973
0.4,5.9411449361542035,0.45056488632846464
0.4,6.070300260853208,0.4746957597077681
0.4,6.199455585552212,0.49944021390250026
0.4,6.328610910251217,0.5247982489126609
0.6,0.0,0.004864229888692672
0.6,0.18455446519868438,0.00019760063939814124
0.6,0.36910893039736875,-0.003843769661780033
0.6,0.5536633955960532,-0.007259881014841845
0.6,0.7382178607947375,-0.010050733419787301
0.6,0.9227723259934218,-0.012216326876616397
0.6,1.1073267911921063,-0.013756661385329137
0.6,1.2918812563907907,-0.014671736945925516
0.6,1.476435721589475,-0.01496155355840554
0.6,1.6609901867881594,-0.0146261112227692
0.6,1.8455446519868437,-0.013665409939016503
0.6,2.0300991171855283,-0.012079449707147447
0.6,2.2146535823842126,-0.009868230527162035
0.6,2.399208047582897,-0.007031752399060267
0.6,2.5837625127815813,-0.003570015322842135
0.6,2.7683169779802657,0.0005169807014923557
0.6,2.95287144317895,0.005229235673943194
0.6,3.1374259083776344,0.010566749594510403
0.6,3.3219803735763187,0.016529522463193967
0.6,3.506534838775003,0.02311755427999388
0.6,3.6910893039736874,0.03033084504491018
0.6,3.8756437691723717,0.03816939475794281
0.6,4.0601982343710565,0.04663320341909183
0.6,4.244752699569741,0.055722271028357175
0.6,4.429307164768425,0.0654365975857389
0.6,4.61386162996711,0.07577618309123697
0.6,4.798416095165794,0.08674102754485138
0.6,4.982970560364478,0.0983311309465822
0.6,5.167525025563163,0.11054649329642934
0.6,5.352079490761847,0.12338711459439283
0.6,5.536633955960531,0.13685299484047272
0.6,5.721188421159216,0.15094413403466891
0.6,5.9057428863579,0.16566053217698148
0.6,6.090297351556584,0.18100218926741046
0.6,6.274851816755269,0.19696910530595574
0.6,6.459406281953953,0.21356128029261737
0.6,6.643960747152637,0.2307787142273954
0.6,6.828515212351322,0.24862140711028982
0.6,7.013069677550006,0.2670893589413005
0.6,7.1976241427486904,0.2861825697204276
0.6,7.382178607947375,0.30590103944767105
0.6,7.566733073146059,0.3262447681230308
0.6,7.7512875383447435,0.34721375574650704
0.6,7.935842003543428,0.36880800231809957
0.6,8.120396468742113,0.39102750783780854
0.6,8.304950933940797,0.41387227230563367
0.6,8.489505399139482,0.43734229572157535
0.6,8.674059864338165,0.4614375780856332
0.6,8.85861432953685,0.4861581193978077
0.6,9.043168794735534,0.5115039196580982
0.8,0.0,0.005603572329863353
0.8,0.24821677036250697,0.0007001092438698054
0.8,0.49643354072501394,-0.0036389696276066946
0.8,0.7446503110875209,-0.007413664284566145
0.8,0.9928670814500279,-0.010623974727008548
0.8,1.2410838518125349,-0.013269900954933904
0.8,1.4893006221750418,-0.015351442968342212
0.8,1.7375173925375489,-0.016868600767233472
0.8,1.9857341629000558,-0.017821374351607685
0.8,2.233950933262563,-0.018209763721464847
0.8,2.4821677036250698,-0.018033768876804964
0.8,2.7303844739875767,-0.017293389817628027
0.8,2.9786012443500836,-0.01598862654393405
0.8,3.2268180147125904,-0.01411947905572302
0.8,3.4750347850750978,-0.011685947352994944
0.8,3.7232515554376047,-0.008688031435749815
0.8,3.9714683258001116,-0.0051257313039876524
0.8,4.219685096162618,-0.0009990469577084273
0.8,4.467901866525126,0.003692021603087846
0.8,4.716118636887632,0.008947474378401151
0.8,4.9643354072501396,0.014767311368231522
0.8,5.212552177612646,0.02115153257257892
0.8,5.460768947975153,0.028100137991443404
0.8,5.708985718337661,0.03561312762482492
0.8,5.957202488700167,0.043690501472723464
0.8,6.205419259062674,0.05233225953513908
0.8,6.453636029425181,0.06153840181207171
0.8,6.701852799787688,0.07130892830352142
0.8,6.9500695701501956,0.08164383900948818
0.8,7.198286340512702,0.09254313392997199
0.8,7.446503110875209,0.10400681306497284
0.8,7.694719881237716,0.11603487641449067
0.8,7.942936651600223,0.12862732397852564
0.8,8.19115342196273,0.14178415575707762
0.8,8.439370192325237,0.15550537175014667
0.8,8.687586962687744,0.16979097195773277
0.8,8.935803733050252,0.18464095637983594
0.8,9.184020503412757,0.200055325016456
0.8,9.432237273775264,0.21603407786759327
0.8,9.680454044137772,0.23257721493324757
0.8,9.928670814500279,0.2496847362134189
0.8,10.176887584862786,0.26735664170810736
0.8,10.425104355225292,0.2855929314173126
0.8,10.6733211255878,0.30439360534103516
0.8,10.921537895950307,0.32375866347927473
0.8,11.169754666312814,0.3436881058320313
0.8,11.417971436675321,0.36418193239930496
0.8,11.666188207037827,0.3852401431810955
0.8,11.914404977400334,0.4068627381774032
0.8,12.162621747762842,0.42904971738822806
